Cell,CNAclone
Clone2Cell291,2
Clone2Cell292,2
Clone2Cell293,2
Clone2Cell294,2
Clone2Cell295,2
Clone2Cell296,2
Clone2Cell297,2
Clone2Cell298,2
Clone2Cell299,2
Clone2Cell300,2
Clone2Cell301,2
Clone2Cell302,2
Clone2Cell303,2
Clone2Cell304,2
Clone2Cell305,2
Clone2Cell306,2
Clone2Cell307,2
Clone2Cell308,2
Clone2Cell309,2
Clone2Cell310,2
Clone2Cell311,2
Clone2Cell312,2
Clone2Cell313,2
Clone2Cell314,2
Clone2Cell315,2
Clone2Cell316,2
Clone2Cell317,2
Clone2Cell318,2
Clone2Cell319,2
Clone2Cell320,2
Clone2Cell321,2
Clone2Cell322,2
Clone2Cell323,2
Clone2Cell324,2
Clone2Cell325,2
Clone2Cell326,2
Clone2Cell327,2
Clone2Cell328,2
Clone2Cell329,2
Clone2Cell330,2
Clone2Cell331,2
Clone2Cell332,2
Clone2Cell333,2
Clone2Cell334,2
Clone2Cell335,2
Clone2Cell336,2
Clone2Cell337,2
Clone2Cell338,2
Clone2Cell339,2
Clone2Cell340,2
Clone2Cell341,2
Clone2Cell342,2
Clone2Cell343,2
Clone2Cell344,2
Clone2Cell345,2
Clone2Cell346,2
Clone2Cell347,2
Clone2Cell348,2
Clone2Cell349,2
Clone2Cell350,2
Clone2Cell351,2
Clone2Cell352,2
Clone2Cell353,2
Clone2Cell354,2
Clone2Cell355,2
Clone2Cell356,2
Clone2Cell357,2
Clone2Cell358,2
Clone2Cell359,2
Clone2Cell360,2
Clone2Cell361,2
Clone2Cell362,2
Clone2Cell363,2
Clone2Cell364,2
Clone2Cell365,2
Clone2Cell366,2
Clone2Cell367,2
Clone2Cell368,2
Clone2Cell369,2
Clone2Cell370,2
Clone2Cell371,2
Clone2Cell372,2
Clone2Cell373,2
Clone2Cell374,2
Clone2Cell375,2
Clone2Cell376,2
Clone2Cell377,2
Clone2Cell378,2
Clone2Cell379,2
Clone2Cell380,2
Clone2Cell381,2
Clone2Cell382,2
Clone2Cell383,2
Clone2Cell384,2
Clone2Cell385,2
Clone2Cell386,2
Clone2Cell387,2
Clone2Cell388,2
Clone2Cell389,2
Clone2Cell390,2
Clone2Cell391,2
Clone2Cell392,2
Clone2Cell393,2
Clone2Cell394,2
Clone2Cell395,2
Clone2Cell396,2
Clone2Cell397,2
Clone2Cell398,2
Clone2Cell399,2
Clone2Cell400,2
Clone2Cell401,2
Clone2Cell402,2
Clone2Cell403,2
Clone2Cell404,2
Clone2Cell405,2
Clone2Cell406,2
Clone2Cell407,2
Clone2Cell408,2
Clone2Cell409,2
Clone2Cell410,2
Clone2Cell411,2
Clone2Cell412,2
Clone2Cell413,2
Clone2Cell414,2
Clone2Cell415,2
Clone2Cell416,2
Clone2Cell417,2
Clone2Cell418,2
Clone2Cell419,2
Clone2Cell420,2
Clone2Cell421,2
Clone2Cell422,2
Clone2Cell423,2
Clone2Cell424,2
Clone2Cell425,2
Clone2Cell426,2
Clone2Cell427,2
Clone2Cell428,2
Clone2Cell429,2
Clone2Cell430,2
Clone2Cell431,2
Clone2Cell432,2
Clone2Cell433,2
Clone2Cell434,2
Clone2Cell435,2
Clone2Cell436,2
Clone2Cell437,2
Clone2Cell438,2
Clone2Cell439,2
Clone2Cell440,2
Clone2Cell441,2
Clone2Cell442,2
Clone2Cell443,2
Clone2Cell444,2
Clone2Cell445,2
Clone2Cell446,2
Clone2Cell447,2
Clone2Cell448,2
Clone2Cell449,2
Clone2Cell450,2
Clone2Cell451,2
Clone2Cell452,2
Clone2Cell453,2
Clone2Cell454,2
Clone2Cell455,2
Clone2Cell456,2
Clone2Cell457,2
Clone2Cell458,2
Clone2Cell459,2
Clone2Cell460,2
Clone2Cell461,2
Clone2Cell462,2
Clone2Cell463,2
Clone2Cell464,2
Clone2Cell465,2
Clone2Cell466,2
Clone2Cell467,2
Clone2Cell468,2
Clone2Cell469,2
Clone2Cell470,2
Clone2Cell471,2
Clone2Cell472,2
Clone2Cell473,2
Clone2Cell474,2
Clone2Cell475,2
Clone2Cell476,2
Clone2Cell477,2
Clone2Cell478,2
Clone2Cell479,2
Clone2Cell480,2
Clone2Cell481,2
Clone2Cell482,2
Clone2Cell483,2
Clone2Cell484,2
Clone2Cell485,2
Clone2Cell486,2
Clone2Cell487,2
Clone2Cell488,2
Clone2Cell489,2
Clone2Cell490,2
Clone2Cell491,2
Clone2Cell492,2
Clone2Cell493,2
Clone2Cell494,2
Clone2Cell495,2
Clone2Cell496,2
Clone2Cell497,2
Clone2Cell498,2
Clone2Cell499,2
Clone2Cell500,2
Clone2Cell501,2
Clone2Cell502,2
Clone2Cell503,2
Clone2Cell504,2
Clone2Cell505,2
Clone2Cell506,2
Clone2Cell507,2
Clone2Cell508,2
Clone2Cell509,2
Clone2Cell510,2
Clone2Cell511,2
Clone2Cell512,2
Clone2Cell513,2
Clone2Cell514,2
Clone2Cell515,2
Clone2Cell516,2
Clone2Cell517,2
Clone2Cell518,2
Clone2Cell519,2
Clone2Cell520,2
Clone2Cell521,2
Clone2Cell522,2
Clone2Cell523,2
Clone2Cell524,2
Clone2Cell525,2
Clone2Cell526,2
Clone2Cell527,2
Clone2Cell528,2
Clone2Cell529,2
Clone2Cell530,2
Clone2Cell531,2
Clone2Cell532,2
Clone2Cell533,2
Clone2Cell534,2
Clone2Cell535,2
Clone2Cell536,2
Clone2Cell537,2
Clone2Cell538,2
Clone2Cell539,2
Clone2Cell540,2
Clone2Cell541,2
Clone2Cell542,2
Clone2Cell543,2
Clone2Cell544,2
Clone2Cell545,2
Clone2Cell546,2
Clone2Cell547,2
